0,1,2,3,4,5,6,7
KuppCo00,Cooper Kupp,LAR,28.0,WR,17.0,17.0,2021.0
AdamDa01,Davante Adams,GNB,29.0,WR,16.0,16.0,2021.0
HillTy00,Tyreek Hill,KAN,27.0,WR,17.0,16.0,2021.0
JeffJu00,Justin Jefferson,MIN,22.0,WR,17.0,17.0,2021.0
AndrMa00,Mark Andrews,BAL,26.0,TE,17.0,9.0,2021.0
JohnDi01,Diontae Johnson,PIT,25.0,WR,16.0,14.0,2021.0
AlleKe00,Keenan Allen,LAC,29.0,WR,16.0,16.0,2021.0
WaddJa00,Jaylen Waddle,MIA,23.0,WR,16.0,16.0,2021.0
DiggSt00,Stefon Diggs,BUF,28.0,WR,17.0,17.0,2021.0
RenfHu00,Hunter Renfrow,LVR,26.0,WR,17.0,9.0,2021.0
GodwCh00,Chris Godwin,TAM,25.0,WR,14.0,14.0,2021.0
MoorD.00,D.J. Moore,CAR,24.0,WR,17.0,17.0,2021.0
KelcTr00,Travis Kelce,KAN,32.0,TE,16.0,16.0,2021.0
BrowMa04,Marquise Brown,BAL,24.0,WR,16.0,16.0,2021.0
CookBr00,Brandin Cooks,HOU,28.0,WR,16.0,16.0,2021.0
StxxAm00,Amon-Ra St. Brown,DET,22.0,WR,17.0,9.0,2021.0
PittMi01,Michael Pittman Jr.,IND,24.0,WR,17.0,17.0,2021.0
MeyeJa01,Jakobi Meyers,NWE,25.0,WR,17.0,16.0,2021.0
BeasCo00,Cole Beasley,BUF,32.0,WR,16.0,8.0,2021.0
ChasJa00,Ja'Marr Chase,CIN,21.0,WR,17.0,17.0,2021.0
MoonDa00,Darnell Mooney,CHI,24.0,WR,17.0,14.0,2021.0
LambCe00,CeeDee Lamb,DAL,22.0,WR,16.0,13.0,2021.0
SchuDa00,Dalton Schultz,DAL,25.0,TE,17.0,15.0,2021.0
KirkCh01,Christian Kirk,ARI,25.0,WR,17.0,11.0,2021.0
McLaTe00,Terry McLaurin,WAS,26.0,WR,17.0,17.0,2021.0
SamuDe00,Deebo Samuel,SFO,25.0,WR,16.0,15.0,2021.0
WillMi07,Mike Williams,LAC,27.0,WR,16.0,14.0,2021.0
MetcDK00,D.K. Metcalf,SEA,24.0,WR,17.0,17.0,2021.0
ErtzZa00,Zach Ertz,2TM,31.0,TE,17.0,14.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
EvanMi00,Mike Evans,TAM,28.0,WR,16.0,16.0,2021.0
HarrNa00,Najee Harris,PIT,23.0,RB,17.0,17.0,2021.0
HiggTe00,Tee Higgins,CIN,22.0,WR,14.0,14.0,2021.0
GesiMi00,Mike Gesicki,MIA,26.0,TE,17.0,9.0,2021.0
JoneMa02,Marvin Jones,JAX,31.0,WR,17.0,16.0,2021.0
LockTy00,Tyler Lockett,SEA,29.0,WR,16.0,16.0,2021.0
KittGe00,George Kittle,SFO,28.0,TE,14.0,14.0,2021.0
EkelAu00,Austin Ekeler,LAC,26.0,RB,16.0,16.0,2021.0
FourLe00,Leonard Fournette,TAM,26.0,RB,14.0,13.0,2021.0
CoopAm00,Amari Cooper,DAL,27.0,WR,15.0,14.0,2021.0
FantNo00,Noah Fant,DEN,24.0,TE,16.0,16.0,2021.0
PittKy00,Kyle Pitts,ATL,21.0,TE,17.0,15.0,2021.0
BoydTy00,Tyler Boyd,CIN,27.0,WR,16.0,10.0,2021.0
ThieAd00,Adam Thielen,MIN,31.0,WR,13.0,13.0,2021.0
GageRu00,Russell Gage,ATL,25.0,WR,14.0,9.0,2021.0
SmitDe07,DeVonta Smith,PHI,23.0,WR,17.0,16.0,2021.0
BrowAJ00,A.J. Brown,TEN,24.0,WR,13.0,13.0,2021.0
ShenLa00,Laviska Shenault Jr.,JAX,23.0,WR,16.0,10.0,2021.0
SwifDA00,D'Andre Swift,DET,22.0,RB,13.0,4.0,2021.0
ConkTy00,Tyler Conklin,MIN,26.0,TE,17.0,15.0,2021.0
HigbTy00,Tyler Higbee,LAR,28.0,TE,15.0,15.0,2021.0
HockTJ00,T.J. Hockenson,DET,24.0,TE,12.0,12.0,2021.0
FreiPa00,Pat Freiermuth,PIT,23.0,TE,16.0,9.0,2021.0
KmetCo00,Cole Kmet,CHI,22.0,TE,17.0,17.0,2021.0
ClayCh01,Chase Claypool,PIT,23.0,WR,15.0,13.0,2021.0
HardMe00,Mecole Hardman,KAN,23.0,WR,17.0,8.0,2021.0
SuttCo00,Courtland Sutton,DEN,26.0,WR,17.0,16.0,2021.0
AiyuBr00,Brandon Aiyuk,SFO,23.0,WR,17.0,16.0,2021.0
GoedDa00,Dallas Goedert,PHI,26.0,TE,15.0,14.0,2021.0
BourKe00,Kendrick Bourne,NWE,26.0,WR,17.0,5.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
GronRo00,Rob Gronkowski,TAM,32.0,TE,12.0,12.0,2021.0
WallDa01,Darren Waller,LVR,29.0,TE,11.0,11.0,2021.0
GreeA.00,A.J. Green,ARI,33.0,WR,16.0,9.0,2021.0
JacoJo01,Josh Jacobs,LVR,23.0,RB,15.0,14.0,2021.0
MoorRo02,Rondale Moore,ARI,21.0,WR,14.0,7.0,2021.0
AndeRo04,Chosen Anderson,CAR,28.0,WR,17.0,16.0,2021.0
PatrTi00,Tim Patrick,DEN,28.0,WR,16.0,16.0,2021.0
JoneAa00,Aaron Jones,GNB,27.0,RB,15.0,15.0,2021.0
LandJa00,Jarvis Landry,CLE,29.0,WR,12.0,12.0,2021.0
PattCo00,Cordarrelle Patterson,ATL,30.0,RB,16.0,13.0,2021.0
CrowJa00,Jamison Crowder,NYJ,28.0,WR,12.0,4.0,2021.0
HenrHu00,Hunter Henry,NWE,27.0,TE,17.0,10.0,2021.0
JeffVa00,Van Jefferson,LAR,25.0,WR,17.0,17.0,2021.0
OsboKJ00,K.J. Osborn,MIN,24.0,WR,17.0,9.0,2021.0
GaskMy00,Myles Gaskin,MIA,24.0,RB,17.0,10.0,2021.0
KnoxDa00,Dawson Knox,BUF,25.0,TE,15.0,14.0,2021.0
UzomC.00,C.J. Uzomah,CIN,28.0,TE,16.0,16.0,2021.0
CookJa02,Jared Cook,LAC,34.0,TE,16.0,10.0,2021.0
EverGe00,Gerald Everett,SEA,27.0,TE,15.0,12.0,2021.0
RaymKa00,Kalif Raymond,DET,27.0,WR,16.0,14.0,2021.0
ElliEz00,Ezekiel Elliott,DAL,26.0,RB,17.0,17.0,2021.0
JoneZa00,Zay Jones,LVR,26.0,WR,17.0,9.0,2021.0
KamaAl00,Alvin Kamara,NOR,26.0,RB,13.0,10.0,2021.0
WillDa10,Darrel Williams,KAN,26.0,RB,17.0,7.0,2021.0
BateRa00,Rashod Bateman,BAL,22.0,WR,12.0,4.0,2021.0
BerrBr00,Braxton Berrios,NYJ,26.0,WR,16.0,1.0,2021.0
CallMa01,Marquez Callaway,NOR,23.0,WR,17.0,11.0,2021.0
EngrEv00,Evan Engram,NYG,27.0,TE,15.0,12.0,2021.0
WilsCe01,Cedrick Wilson Jr.,DAL,26.0,WR,16.0,4.0,2021.0
WoodRo02,Robert Woods,LAR,29.0,WR,9.0,9.0,2021.0
2021,0,0,0.0,0,0.0,0.0,0.0
BeckOd00,Odell Beckham Jr.,2TM,29.0,WR,14.0,13.0,2021.0
DaviMi01,Mike Davis,ATL,28.0,RB,17.0,8.0,2021.0
EdmoCh00,Chase Edmonds,ARI,25.0,RB,12.0,11.0,2021.0
McKiJ.00,J.D. McKissic,WAS,28.0,WR,11.0,3.0,2021.0
MoorEl00,Elijah Moore,NYJ,21.0,WR,11.0,6.0,2021.0
WatkQu00,Quez Watkins,PHI,23.0,WR,17.0,12.0,2021.0
WillJa10,Javonte Williams,DEN,21.0,RB,17.0,1.0,2021.0
BrowAn04,Antonio Brown,TAM,33.0,WR,7.0,3.0,2021.0
