0,1,2,3,4,5,6,7
LandJa00,Jarvis Landry,MIA,25,WR,16,16,2017
FitzLa00,Larry Fitzgerald,ARI,34,WR,16,16,2017
ThomMi05,Michael Thomas,NOR,24,WR,16,14,2017
AlleKe00,Keenan Allen,LAC,25,WR,16,15,2017
BrowAn04,Antonio Brown,PIT,29,WR,14,14,2017
HopkDe00,DeAndre Hopkins,HOU,25,WR,15,15,2017
TateGo00,Golden Tate,DET,29,WR,16,12,2017
ThieAd00,Adam Thielen,MIN,27,WR,16,16,2017
JoneJu02,Julio Jones,ATL,28,WR,16,16,2017
BellLe00,Le'Veon Bell,PIT,25,RB,15,15,2017
KelcTr00,Travis Kelce,KAN,28,TE,15,15,2017
ThomDe03,Demaryius Thomas,DEN,30,WR,16,16,2017
KamaAl00,Alvin Kamara,NOR,22,RB,16,3,2017
DoylJa00,Jack Doyle,IND,27,TE,15,15,2017
McCaCh01,Christian McCaffrey,CAR,21,RB,16,10,2017
BaldDo00,Doug Baldwin,SEA,29,WR,16,16,2017
GreeA.00,A.J. Green,CIN,29,WR,16,16,2017
HillTy00,Tyreek Hill,KAN,23,WR,15,13,2017
AdamDa01,Davante Adams,GNB,25,WR,14,14,2017
ErtzZa00,Zach Ertz,PHI,27,TE,14,13,2017
JohnDu00,Duke Johnson,CLE,24,RB,16,0,2017
WalkHu00,Delanie Walker,TEN,33,TE,16,11,2017
EvanMi00,Mike Evans,TAM,24,WR,15,15,2017
BryaDe01,Dez Bryant,DAL,29,WR,16,16,2017
GronRo00,Rob Gronkowski,NWE,28,TE,14,14,2017
SanuMo00,Mohamed Sanu,ATL,28,WR,15,15,2017
CobbRa00,Randall Cobb,GNB,27,WR,15,14,2017
CrowJa00,Jamison Crowder,WAS,24,WR,15,6,2017
CookBr00,Brandin Cooks,NWE,24,WR,16,15,2017
2017,,,,,,,
KearJe01,Jermaine Kearse,NYJ,27,WR,16,14,2017
DiggSt00,Stefon Diggs,MIN,24,WR,14,14,2017
EngrEv00,Evan Engram,NYG,23,TE,15,11,2017
GurlTo01,Todd Gurley,LAR,23,RB,15,15,2017
AndeRo04,Chosen Anderson,NYJ,24,WR,16,15,2017
FuncDe00,Devin Funchess,CAR,23,WR,16,16,2017
WittJa00,Jason Witten,DAL,35,TE,16,16,2017
AghoNe00,Nelson Agholor,PHI,24,WR,16,10,2017
KuppCo00,Cooper Kupp,LAR,24,WR,15,6,2017
