0,1,2,3,4,5,6,7
WinsJa00,Jameis Winston,TAM,25,QB,16,16,2019
PresDa01,Dak Prescott,DAL,26,QB,16,16,2019
GoffJa00,Jared Goff,LAR,25,QB,16,16,2019
RivePh00,Philip Rivers,LAC,38,QB,16,16,2019
RyanMa00,Matt Ryan,ATL,34,QB,15,15,2019
WilsRu00,Russell Wilson,SEA,31,QB,16,16,2019
BradTo00,Tom Brady,NWE,42,QB,16,16,2019
CarrDe02,Derek Carr,OAK,28,QB,16,16,2019
WentCa00,Carson Wentz,PHI,27,QB,16,16,2019
MahoPa00,Patrick Mahomes,KAN,24,QB,14,14,2019
RodgAa00,Aaron Rodgers,GNB,36,QB,16,16,2019
GaroJi00,Jimmy Garoppolo,SFO,28,QB,16,16,2019
WatsDe00,Deshaun Watson,HOU,24,QB,15,15,2019
MayfBa00,Baker Mayfield,CLE,24,QB,16,16,2019
MurrKy00,Kyler Murray,ARI,22,QB,16,16,2019
CousKi00,Kirk Cousins,MIN,31,QB,15,15,2019
FitzRy00,Ryan Fitzpatrick,MIA,37,QB,15,13,2019
DaltAn00,Andy Dalton,CIN,32,QB,13,13,2019
AlleKy00,Kyle Allen,CAR,23,QB,13,12,2019
MinsGa00,Gardner Minshew II,JAX,23,QB,14,12,2019
TrubMi00,Mitchell Trubisky,CHI,25,QB,15,15,2019
JackLa00,Lamar Jackson,BAL,22,QB,15,15,2019
AlleJo02,Josh Allen,BUF,23,QB,16,16,2019
JoneDa05,Daniel Jones,NYG,22,QB,13,12,2019
DarnSa00,Sam Darnold,NYJ,22,QB,13,13,2019
BreeDr00,Drew Brees,NOR,40,QB,11,11,2019
BrisJa00,Jacoby Brissett,IND,27,QB,15,15,2019
TannRy00,Ryan Tannehill,TEN,31,QB,12,10,2019
StafMa00,Matthew Stafford,DET,31,QB,8,8,2019
2019,,,,,,,
FlacJo00,Joe Flacco,DEN,34,QB,8,8,2019
RudoMa00,Mason Rudolph,PIT,24,QB,10,8,2019
KeenCa00,Case Keenum,WAS,31,QB,10,8,2019
BridTe00,Teddy Bridgewater,NOR,27,QB,9,5,2019
HaskDw00,Dwayne Haskins,WAS,22,QB,9,7,2019
MariMa01,Marcus Mariota,TEN,26,QB,7,6,2019
HodgDe00,Devlin Hodges,PIT,23,QB,8,6,2019
MannEl00,Eli Manning,NYG,38,QB,4,4,2019
