0,1,2,3,4,5,6,7
ElliEz00,Ezekiel Elliott,DAL,23,RB,15,15,2018
BarkSa00,Saquon Barkley,NYG,21,RB,16,16,2018
JohnDa08,David Johnson,ARI,27,RB,16,16,2018
GurlTo01,Todd Gurley,LAR,24,RB,14,14,2018
PeteAd01,Adrian Peterson,WAS,33,RB,16,16,2018
HowaJo00,Jordan Howard,CHI,24,RB,16,15,2018
CarsCh00,Chris Carson,SEA,24,RB,14,14,2018
MixoJo00,Joe Mixon,CIN,22,RB,14,13,2018
BarbPe01,Peyton Barber,TAM,24,RB,16,16,2018
McCaCh01,Christian McCaffrey,CAR,22,RB,16,16,2018
ConnJa00,James Conner,PIT,23,RB,13,12,2018
HenrDe00,Derrick Henry,TEN,24,RB,16,12,2018
MillLa01,Lamar Miller,HOU,27,RB,14,14,2018
MichSo00,Sony Michel,NWE,23,RB,13,8,2018
MackMa00,Marlon Mack,IND,22,RB,12,10,2018
KamaAl00,Alvin Kamara,NOR,23,RB,15,13,2018
ChubNi00,Nick Chubb,CLE,23,RB,16,9,2018
LindPh00,Phillip Lindsay,DEN,24,RB,15,8,2018
HuntKa00,Kareem Hunt,KAN,23,RB,11,11,2018
GordMe00,Melvin Gordon,LAC,25,RB,12,12,2018
HydeCa00,Carlos Hyde,2TM,28,RB,14,7,2018
MartDo00,Doug Martin,OAK,29,RB,16,9,2018
ColeTe01,Tevin Coleman,ATL,25,RB,16,14,2018
McCoLe01,LeSean McCoy,BUF,30,RB,14,13,2018
GoreFr00,Frank Gore,MIA,35,RB,14,14,2018
LewiDi00,Dion Lewis,TEN,28,RB,16,7,2018
BlouLe00,LeGarrette Blount,DET,32,RB,16,8,2018
BreiMa00,Matt Breida,SFO,23,RB,14,13,2018
BlueAl00,Alfred Blue,HOU,27,RB,16,2,2018
2018,,,,,,,
JackLa00,Lamar Jackson,BAL,21,QB,16,7,2018
CrowIs00,Isaiah Crowell,NYJ,25,RB,13,6,2018
MurrLa00,Latavius Murray,MIN,28,RB,16,6,2018
IngrMa01,Mark Ingram,NOR,29,RB,12,6,2018
EdwaGu00,Gus Edwards,BAL,23,RB,11,6,2018
CookDa01,Dalvin Cook,MIN,23,RB,11,10,2018
FourLe00,Leonard Fournette,JAX,23,RB,8,8,2018
JoneAa00,Aaron Jones,GNB,24,RB,12,8,2018
FreeRo00,Royce Freeman,DEN,22,RB,14,8,2018
WillJa06,Jamaal Williams,GNB,23,RB,16,8,2018
AdamJo03,Josh Adams,PHI,22,RB,14,5,2018
DrakKe00,Kenyan Drake,MIA,24,RB,16,7,2018
JohnKe06,Kerryon Johnson,DET,21,RB,10,7,2018
IvorCh00,Chris Ivory,BUF,30,RB,13,1,2018
CollAl00,Alex Collins,BAL,24,RB,10,10,2018
DaviMi01,Mike Davis,SEA,25,WR,15,2,2018
MorrAl00,Alfred Morris,SFO,30,RB,12,1,2018
EkelAu00,Austin Ekeler,LAC,23,RB,14,3,2018
YeldT.00,T.J. Yeldon,JAX,25,RB,14,5,2018
NewtCa00,Cam Newton,CAR,29,QB,14,14,2018
CoheTa00,Tarik Cohen,CHI,23,RB,16,7,2018
WatsDe00,Deshaun Watson,HOU,23,QB,16,16,2018
WhitJa02,James White,NWE,26,RB,16,3,2018
McGuEl00,Elijah McGuire,NYJ,24,RB,8,3,2018
LyncMa00,Marshawn Lynch,OAK,32,RB,6,6,2018
SmitIt00,Ito Smith,ATL,23,RB,14,0,2018
AlleJo02,Josh Allen,BUF,22,QB,12,11,2018
SmalWe00,Wendell Smallwood,PHI,24,RB,16,6,2018
HineNy00,Nyheim Hines,IND,22,RB,16,4,2018
PennRa00,Rashaad Penny,SEA,22,RB,14,0,2018
2018,,,,,,,
PoweBi00,Bilal Powell,NYJ,30,RB,7,7,2018
PresDa01,Dak Prescott,DAL,25,QB,16,16,2018
ClemCo00,Corey Clement,PHI,24,RB,11,0,2018
TrubMi00,Mitchell Trubisky,CHI,24,QB,14,14,2018
AndeC.00,C.J. Anderson,2TM,27,RB,11,3,2018
WilsRu00,Russell Wilson,SEA,30,QB,16,16,2018
WilsJe01,Jeff Wilson,SFO,23,RB,6,2,2018
MariMa01,Marcus Mariota,TEN,25,QB,14,13,2018
DixoKe00,Kenneth Dixon,BAL,24,RB,6,0,2018
EdmoCh00,Chase Edmonds,ARI,22,RB,16,0,2018
MahoPa00,Patrick Mahomes,KAN,23,QB,16,16,2018
WilkJo01,Jordan Wilkins,IND,24,RB,16,3,2018
BortBl00,Blake Bortles,JAX,26,QB,13,12,2018
BurkRe00,Rex Burkhead,NWE,28,RB,8,4,2018
BernGi00,Giovani Bernard,CIN,27,RB,12,4,2018
SamuJa00,Jaylen Samuels,PIT,22,RB,14,3,2018
RichJa01,Jalen Richard,OAK,25,RB,16,1,2018
ZennZa00,Zach Zenner,DET,27,RB,8,1,2018
MurpMa03,Marcus Murphy,BUF,27,RB,11,1,2018
GallWa00,Wayne Gallman,NYG,24,RB,15,1,2018
WareSp00,Spencer Ware,KAN,27,RB,13,2,2018
JackJu01,Justin Jackson,LAC,22,RB,13,1,2018
WillDa05,Damien Williams,KAN,26,RB,16,3,2018
WinsJa00,Jameis Winston,TAM,24,QB,11,9,2018
LuckAn00,Andrew Luck,IND,29,QB,16,16,2018
AjayJa00,Jay Ajayi,PHI,25,RB,4,3,2018
CousKi00,Kirk Cousins,MIN,30,QB,16,16,2018
DarnSa00,Sam Darnold,NYJ,21,QB,13,13,2018
SmitRo06,Rod Smith,DAL,26,RB,16,1,2018
BrowMa03,Malcolm Brown,LAR,25,RB,12,0,2018
2018,,,,,,,
GoffJa00,Jared Goff,LAR,24,QB,16,16,2018
RodgAa00,Aaron Rodgers,GNB,35,QB,16,16,2018
ThomCh03,Chris Thompson,WAS,28,RB,10,0,2018
PattCo00,Cordarrelle Patterson,NWE,27,WR,15,5,2018
AlleJa01,Javorius Allen,BAL,27,RB,14,0,2018
MontTy01,Ty Montgomery,2TM,25,WR,13,0,2018
SmitAl03,Alex Smith,WAS,34,QB,10,10,2018
JohnDu00,Duke Johnson,CLE,25,RB,16,2,2018
RiddTh00,Theo Riddick,DET,27,RB,14,3,2018
MayfBa00,Baker Mayfield,CLE,23,QB,14,13,2018
CannTr00,Trenton Cannon,NYJ,24,RB,16,0,2018
HillTa00,Taysom Hill,NOR,28,QB,16,4,2018
BallKa00,Kalen Ballage,MIA,23,RB,12,0,2018
FitzRy00,Ryan Fitzpatrick,TAM,36,QB,8,7,2018
BookDe00,Devontae Booker,DEN,26,RB,16,0,2018
MostRa00,Raheem Mostert,SFO,26,RB,9,0,2018
WentCa00,Carson Wentz,PHI,26,QB,11,11,2018
RodgJa00,Jacquizz Rodgers,TAM,28,RB,16,0,2018
RyanMa00,Matt Ryan,ATL,33,QB,16,16,2018
TannRy00,Ryan Tannehill,MIA,30,QB,11,11,2018
BreeDr00,Drew Brees,NOR,39,QB,15,15,2018
RoetBe00,Ben Roethlisberger,PIT,36,QB,16,16,2018
WashDe00,DeAndre Washington,OAK,25,RB,10,0,2018
RidlSt00,Stevan Ridley,PIT,29,RB,10,0,2018
SproDa00,Darren Sproles,PHI,35,RB,6,2,2018
KellJo00,John Kelly,LAR,22,RB,4,0,2018
WashDw00,Dwayne Washington,NOR,24,RB,13,0,2018
KeenCa00,Case Keenum,DEN,30,QB,16,16,2018
DrisJe00,Jeff Driskel,CIN,25,QB,9,5,2018
StafMa00,Matthew Stafford,DET,30,QB,16,16,2018
2018,,,,,,,
CarrDe02,Derek Carr,OAK,27,QB,16,16,2018
BradTo00,Tom Brady,NWE,41,QB,16,16,2018
JohnJo05,Josh Johnson,WAS,32,QB,4,3,2018
JoneRo01,Ronald Jones II,TAM,21,RB,9,0,2018
RoseJo01,Josh Rosen,ARI,21,QB,14,13,2018
HillTy00,Tyreek Hill,KAN,24,WR,16,16,2018
BibbKa00,Kapri Bibbs,2TM,25,RB,12,0,2018
FordKe00,Keith Ford,BUF,24,RB,2,1,2018
HillBr02,Brian Hill,ATL,23,RB,10,0,2018
ArtiCa00,Cameron Artis-Payne,CAR,28,RB,9,0,2018
BarnKe00,Kenjon Barner,2TM,29,RB,9,0,2018
BeatC.00,C.J. Beathard,SFO,25,QB,6,5,2018
FlacJo00,Joe Flacco,BAL,33,QB,9,9,2018
KessCo00,Cody Kessler,JAX,25,QB,5,4,2018
WoodRo02,Robert Woods,LAR,26,WR,16,16,2018
MullNi00,Nick Mullens,SFO,23,QB,8,8,2018
RivePh00,Philip Rivers,LAC,37,QB,16,16,2018
DaltAn00,Andy Dalton,CIN,31,QB,11,11,2018
GillMi00,Mike Gillislee,NOR,28,RB,4,0,2018
TaylTy00,Tyrod Taylor,CLE,29,QB,4,3,2018
MannEl00,Eli Manning,NYG,37,QB,16,16,2018
FreeDe00,Devonta Freeman,ATL,26,RB,2,2,2018
WaltMa00,Mark Walton,CIN,21,RB,14,0,2018
DaniCh00,Chase Daniel,CHI,32,QB,5,2,2018
GranCo00,Corey Grant,JAX,27,RB,5,1,2018
LockTy00,Tyler Lockett,SEA,26,WR,16,14,2018
MoorD.00,D.J. Moore,CAR,21,WR,16,10,2018
WillDa10,Darrel Williams,KAN,23,RB,6,0,2018
BoonMi00,Mike Boone,MIN,23,RB,8,0,2018
BridTe00,Teddy Bridgewater,NOR,26,QB,5,1,2018
2018,,,,,,,
CadeTr00,Travaris Cadet,CAR,29,RB,1,0,2018
CunnBe01,Benny Cunningham,CHI,28,RB,15,0,2018
HoyeBr00,Brian Hoyer,NWE,33,QB,5,0,2018
NewsDe00,Detrez Newsome,LAC,24,RB,9,0,2018
CookBr00,Brandin Cooks,LAR,25,WR,16,16,2018
DiggSt00,Stefon Diggs,MIN,25,WR,15,14,2018
McCoCo00,Colt McCoy,WAS,32,QB,3,2,2018
McKeIs00,Isaiah McKenzie,2TM,23,WR,8,1,2018
PeteNa00,Nathan Peterman,BUF,24,QB,4,2,2018
AlleKe00,Keenan Allen,LAC,26,WR,16,14,2018
ArmaAl00,Alex Armah,CAR,24,FB,16,2,2018
EdelJu00,Julian Edelman,NWE,32,WR,12,12,2018
FoleNi00,Nick Foles,PHI,29,QB,5,5,2018
GabrTa00,Taylor Gabriel,CHI,27,WR,16,11,2018
LangJe00,Jeremy Langford,ATL,27,RB,1,0,2018
LineZa01,Zach Line,NOR,28,RB,16,6,2018
MizzTa00,Taquan Mizzell,CHI,25,RB,9,1,2018
WestDe00,Dede Westbrook,JAX,25,WR,16,9,2018
BoldBr00,Brandon Bolden,MIA,28,RB,16,0,2018
GaroJi00,Jimmy Garoppolo,SFO,27,QB,3,3,2018
JuszKy00,Kyle Juszczyk,SFO,27,FB,16,14,2018
OsweBr00,Brock Osweiler,MIA,28,QB,7,5,2018
PeriSa00,Samaje Perine,WAS,23,RB,5,0,2018
SamuCu00,Curtis Samuel,CAR,22,WR,13,8,2018
SmitGe00,Geno Smith,LAC,28,QB,5,0,2018
ThomRo05,Roc Thomas,MIN,23,RB,5,0,2018
WillDa011,David Williams,JAX,24,RB,6,0,2018
WilsAl02,Albert Wilson,MIA,26,WR,7,3,2018
BenjTr00,Travis Benjamin,LAC,29,WR,12,3,2018
BrisJa00,Jacoby Brissett,IND,26,QB,4,0,2018
2018,,,,,,,
ForeDO00,D'Onta Foreman,HOU,22,RB,1,0,2018
MannSe00,Sean Mannion,LAR,26,QB,3,0,2018
PennEl00,Elijhaa Penny,NYG,25,RB,14,3,2018
SanuMo00,Mohamed Sanu,ATL,29,WR,16,16,2018
WillMi07,Mike Williams,LAC,24,WR,16,5,2018
AustTa00,Tavon Austin,DAL,28,WR,7,0,2018
CharJa00,Jamaal Charles,JAX,32,RB,2,0,2018
DaviCo03,Corey Davis,TEN,23,WR,16,16,2018
DeveJa00,James Develin,NWE,30,FB,16,8,2018
GabbBl00,Blaine Gabbert,TEN,29,QB,8,3,2018
HamxC.00,C.J. Ham,MIN,25,RB,15,2,2018
JackDa01,Darius Jackson,2TM,25,RB,4,0,2018
JackDe00,DeSean Jackson,TAM,32,WR,12,10,2018
MillAn02,Anthony Miller,CHI,24,WR,15,4,2018
RidlCa00,Calvin Ridley,ATL,24,WR,16,5,2018
StewJo00,Jonathan Stewart,NYG,31,RB,3,0,2018
SwitRy00,Ryan Switzer,PIT,24,WR,16,1,2018
WildBr01,Brandon Wilds,JAX,25,RB,3,0,2018
WilsSh01,Shaun Wilson,TAM,23,RB,5,0,2018
AlleKy00,Kyle Allen,CAR,22,QB,2,1,2018
BeckOd00,Odell Beckham Jr.,NYG,26,WR,12,12,2018
HeinTa00,Taylor Heinicke,CAR,25,QB,6,1,2018
KizeDe00,DeShone Kizer,GNB,22,QB,3,0,2018
McCoJo01,Josh McCown,NYJ,39,QB,4,3,2018
MoorCh00,Chris Moore,BAL,25,WR,16,0,2018
ThieAd00,Adam Thielen,MIN,28,WR,16,16,2018
WatkSa00,Sammy Watkins,KAN,25,WR,10,9,2018
CrowJa00,Jamison Crowder,WAS,25,WR,9,7,2018
DobbJo00,Joshua Dobbs,PIT,23,QB,5,0,2018
DorsPh00,Phillip Dorsett,NWE,25,WR,16,2,2018
2018,,,,,,,
FlueDa00,David Fluellen,TEN,26,RB,7,0,2018
GoodMa00,Marquise Goodwin,SFO,28,WR,11,8,2018
HillJe01,Jeremy Hill,NWE,26,RB,1,0,2018
KellRo00,Robert Kelley,WAS,26,RB,2,0,2018
KuppCo00,Cooper Kupp,LAR,25,WR,8,8,2018
NelsJJ00,JJ Nelson,ARI,26,WR,14,2,2018
PerrBr02,Breshad Perriman,CLE,25,WR,10,2,2018
RossJo00,John Ross,CIN,23,WR,13,10,2018
SandEm00,Emmanuel Sanders,DEN,31,WR,12,12,2018
TateGo00,Golden Tate,2TM,30,WR,15,7,2018
TurbRo00,Robert Turbin,IND,29,RB,2,0,2018
WattDe00,Derek Watt,LAC,26,FB,16,5,2018
AghoNe00,Nelson Agholor,PHI,25,WR,16,16,2018
BarkMa00,Matt Barkley,BUF,28,QB,1,1,2018
BrowJo02,John Brown,BAL,28,WR,16,15,2018
BryaMa00,Martavis Bryant,OAK,27,WR,8,2,2018
CoutKe00,Keke Coutee,HOU,21,WR,6,2,2018
EbroEr00,Eric Ebron,IND,25,TE,16,8,2018
EngrEv00,Evan Engram,NYG,24,TE,11,8,2018
EricAl01,Alex Erickson,CIN,26,WR,16,6,2018
GinnTe00,Ted Ginn Jr.,NOR,33,WR,5,3,2018
KirkCh01,Christian Kirk,ARI,22,WR,12,7,2018
LandJa00,Jarvis Landry,CLE,26,WR,16,14,2018
MaddTr01,Tre Madden,SEA,25,RB,14,3,2018
MarsBy01,Byron Marshall,WAS,24,RB,6,0,2018
McCaA.00,A.J. McCarron,OAK,28,QB,2,0,2018
McKiJ.00,J.D. McKissic,SEA,25,WR,5,0,2018
PatrTi00,Tim Patrick,DEN,25,WR,16,4,2018
RobeSe00,Seth Roberts,OAK,27,WR,15,7,2018
ShepSt00,Sterling Shepard,NYG,25,WR,16,16,2018
2018,,,,,,,
WillJo07,Jonathan Williams,NOR,24,RB,3,0,2018
WillMa04,Maxx Williams,BAL,24,TE,13,6,2018
AndeRo04,Chosen Anderson,NYJ,25,WR,14,9,2018
BoydTy00,Tyler Boyd,CIN,24,WR,14,14,2018
BradSa00,Sam Bradford,ARI,31,QB,3,3,2018
CallAn00,Antonio Callaway,CLE,21,WR,16,11,2018
CassMa00,Matt Cassel,DET,36,QB,2,0,2018
ColeDe00,Derrick Coleman,ARI,28,RB,16,4,2018
CoopAm00,Amari Cooper,2TM,24,WR,15,15,2018
DaviJu00,Justin Davis,LAR,23,RB,11,0,2018
EverGe00,Gerald Everett,LAR,24,TE,16,0,2018
FejeCl00,Clayton Fejedelem,CIN,25,DB,16,1,2018
