0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
ElliEz00,DAL,23,RB,15,15,304,1434,6,74,41,4.7,95.6,6,2018
BarkSa00,NYG,21,RB,16,16,261,1307,11,50,78,5.0,81.7,0,2018
JohnDa08,ARI,27,RB,16,16,258,940,7,51,53,3.6,58.8,3,2018
GurlTo01,LAR,24,RB,14,14,256,1251,17,70,36,4.9,89.4,1,2018
PeteAd01,WAS,33,RB,16,16,251,1042,7,47,90,4.2,65.1,3,2018
HowaJo00,CHI,24,RB,16,15,250,935,9,53,42,3.7,58.4,2,2018
CarsCh00,SEA,24,RB,14,14,247,1151,9,61,61,4.7,82.2,3,2018
MixoJo00,CIN,22,RB,14,13,237,1168,8,60,51,4.9,83.4,0,2018
BarbPe01,TAM,24,RB,16,16,234,871,5,41,28,3.7,54.4,1,2018
McCaCh01,CAR,22,RB,16,16,219,1098,7,53,59,5.0,68.6,4,2018
ConnJa00,PIT,23,RB,13,12,215,973,12,56,30,4.5,74.8,4,2018
HenrDe00,TEN,24,RB,16,12,215,1059,12,50,99,4.9,66.2,1,2018
MillLa01,HOU,27,RB,14,14,210,973,5,36,97,4.6,69.5,1,2018
MichSo00,NWE,23,RB,13,8,209,931,6,54,34,4.5,71.6,1,2018
MackMa00,IND,22,RB,12,10,195,908,9,50,49,4.7,75.7,2,2018
KamaAl00,NOR,23,RB,15,13,194,883,14,57,49,4.6,58.9,1,2018
ChubNi00,CLE,23,RB,16,9,192,996,8,47,92,5.2,62.3,0,2018
LindPh00,DEN,24,RB,15,8,192,1037,9,49,65,5.4,69.1,0,2018
HuntKa00,KAN,23,RB,11,11,181,824,7,46,45,4.6,74.9,0,2018
GordMe00,LAC,25,RB,12,12,175,885,10,47,34,5.1,73.8,1,2018
HydeCa00,2TM,28,RB,14,7,172,571,5,27,22,3.3,40.8,2,2018
MartDo00,OAK,29,RB,16,9,172,723,4,37,29,4.2,45.2,3,2018
ColeTe01,ATL,25,RB,16,14,167,800,4,36,65,4.8,50.0,2,2018
McCoLe01,BUF,30,RB,14,13,161,514,3,22,28,3.2,36.7,0,2018
GoreFr00,MIA,35,RB,14,14,156,722,0,25,39,4.6,51.6,1,2018
LewiDi00,TEN,28,RB,16,7,155,517,1,22,36,3.3,32.3,1,2018
BlouLe00,DET,32,RB,16,8,154,418,5,25,27,2.7,26.1,2,2018
BreiMa00,SFO,23,RB,14,13,153,814,3,36,66,5.3,58.1,1,2018
BlueAl00,HOU,27,RB,16,2,150,499,2,25,17,3.3,31.2,0,2018
2018,,,,,,,,,,,,,,
JackLa00,BAL,21,QB,16,7,147,695,5,45,39,4.7,43.4,12,2018
CrowIs00,NYJ,25,RB,13,6,143,685,6,26,77,4.8,52.7,0,2018
MurrLa00,MIN,28,RB,16,6,140,578,6,23,38,4.1,36.1,0,2018
IngrMa01,NOR,29,RB,12,6,138,645,6,34,38,4.7,53.8,3,2018
EdwaGu00,BAL,23,RB,11,6,137,718,2,37,43,5.2,65.3,0,2018
CookDa01,MIN,23,RB,11,10,133,615,2,22,70,4.6,55.9,2,2018
FourLe00,JAX,23,RB,8,8,133,439,5,23,25,3.3,54.9,0,2018
JoneAa00,GNB,24,RB,12,8,133,728,8,41,67,5.5,60.7,1,2018
FreeRo00,DEN,22,RB,14,8,130,521,5,30,24,4.0,37.2,1,2018
WillJa06,GNB,23,RB,16,8,121,464,3,25,20,3.8,29.0,0,2018
AdamJo03,PHI,22,RB,14,5,120,511,3,23,29,4.3,36.5,1,2018
DrakKe00,MIA,24,RB,16,7,120,535,4,23,54,4.5,33.4,2,2018
JohnKe06,DET,21,RB,10,7,118,641,3,32,71,5.4,64.1,1,2018
IvorCh00,BUF,30,RB,13,1,115,385,1,25,21,3.3,29.6,1,2018
CollAl00,BAL,24,RB,10,10,114,411,7,22,19,3.6,41.1,3,2018
DaviMi01,SEA,25,WR,15,2,112,514,4,25,37,4.6,34.3,0,2018
MorrAl00,SFO,30,RB,12,1,111,428,2,24,51,3.9,35.7,2,2018
EkelAu00,LAC,23,RB,14,3,106,554,3,25,41,5.2,39.6,1,2018
YeldT.00,JAX,25,RB,14,5,104,414,1,16,20,4.0,29.6,1,2018
NewtCa00,CAR,29,QB,14,14,101,488,4,36,29,4.8,34.9,6,2018
CoheTa00,CHI,23,RB,16,7,99,444,3,20,32,4.5,27.8,7,2018
WatsDe00,HOU,23,QB,16,16,99,551,5,33,34,5.6,34.4,9,2018
WhitJa02,NWE,26,RB,16,3,94,425,5,22,27,4.5,26.6,0,2018
McGuEl00,NYJ,24,RB,8,3,92,276,3,15,34,3.0,34.5,2,2018
LyncMa00,OAK,32,RB,6,6,90,376,3,20,52,4.2,62.7,0,2018
SmitIt00,ATL,23,RB,14,0,90,315,4,18,18,3.5,22.5,1,2018
AlleJo02,BUF,22,QB,12,11,89,631,8,41,45,7.1,52.6,8,2018
SmalWe00,PHI,24,RB,16,6,87,364,3,22,15,4.2,22.8,2,2018
HineNy00,IND,22,RB,16,4,85,314,2,17,18,3.7,19.6,1,2018
PennRa00,SEA,22,RB,14,0,85,419,2,18,38,4.9,29.9,0,2018
2018,,,,,,,,,,,,,,
PoweBi00,NYJ,30,RB,7,7,80,343,0,16,38,4.3,49.0,2,2018
PresDa01,DAL,25,QB,16,16,75,305,6,25,28,4.1,19.1,12,2018
ClemCo00,PHI,24,RB,11,0,68,259,2,15,32,3.8,23.5,4,2018
TrubMi00,CHI,24,QB,14,14,68,421,3,29,39,6.2,30.1,6,2018
AndeC.00,2TM,27,RB,11,3,67,403,2,21,46,6.0,36.6,0,2018
WilsRu00,SEA,30,QB,16,16,67,376,0,23,40,5.6,23.5,10,2018
WilsJe01,SFO,23,RB,6,2,66,266,0,13,18,4.0,44.3,3,2018
MariMa01,TEN,25,QB,14,13,64,357,2,26,27,5.6,25.5,9,2018
DixoKe00,BAL,24,RB,6,0,60,333,2,20,37,5.6,55.5,2,2018
EdmoCh00,ARI,22,RB,16,0,60,208,2,14,29,3.5,13.0,1,2018
MahoPa00,KAN,23,QB,16,16,60,272,2,17,28,4.5,17.0,9,2018
WilkJo01,IND,24,RB,16,3,60,336,1,15,53,5.6,21.0,2,2018
BortBl00,JAX,26,QB,13,12,58,365,1,28,41,6.3,28.1,8,2018
BurkRe00,NWE,28,RB,8,4,57,186,0,11,12,3.3,23.3,2,2018
BernGi00,CIN,27,RB,12,4,56,211,3,14,23,3.8,17.6,0,2018
SamuJa00,PIT,22,RB,14,3,56,256,0,13,25,4.6,18.3,1,2018
RichJa01,OAK,25,RB,16,1,55,259,1,11,30,4.7,16.2,3,2018
ZennZa00,DET,27,RB,8,1,55,265,3,14,29,4.8,33.1,0,2018
MurpMa03,BUF,27,RB,11,1,52,250,0,7,30,4.8,22.7,1,2018
GallWa00,NYG,24,RB,15,1,51,176,1,7,9,3.5,11.7,2,2018
WareSp00,KAN,27,RB,13,2,51,246,2,14,34,4.8,18.9,0,2018
JackJu01,LAC,22,RB,13,1,50,206,2,13,20,4.1,15.8,0,2018
WillDa05,KAN,26,RB,16,3,50,256,4,15,25,5.1,16.0,1,2018
WinsJa00,TAM,24,QB,11,9,49,281,1,19,18,5.7,25.5,7,2018
LuckAn00,IND,29,QB,16,16,46,148,0,12,33,3.2,9.3,6,2018
AjayJa00,PHI,25,RB,4,3,45,184,3,11,20,4.1,46.0,1,2018
CousKi00,MIN,30,QB,16,16,44,123,1,12,19,2.8,7.7,9,2018
DarnSa00,NYJ,21,QB,13,13,44,138,1,16,28,3.1,10.6,5,2018
SmitRo06,DAL,26,RB,16,1,44,127,1,10,14,2.9,7.9,0,2018
BrowMa03,LAR,25,RB,12,0,43,212,0,10,19,4.9,17.7,0,2018
2018,,,,,,,,,,,,,,
GoffJa00,LAR,24,QB,16,16,43,108,2,9,16,2.5,6.8,12,2018
RodgAa00,GNB,35,QB,16,16,43,269,2,20,23,6.3,16.8,6,2018
ThomCh03,WAS,28,RB,10,0,43,178,0,9,16,4.1,17.8,1,2018
PattCo00,NWE,27,WR,15,5,42,228,1,15,27,5.4,15.2,1,2018
AlleJa01,BAL,27,RB,14,0,41,110,3,10,17,2.7,7.9,1,2018
MontTy01,2TM,25,WR,13,0,41,188,1,10,16,4.6,14.5,2,2018
SmitAl03,WAS,34,QB,10,10,41,168,1,15,22,4.1,16.8,6,2018
JohnDu00,CLE,25,RB,16,2,40,201,0,9,23,5.0,12.6,1,2018
