0,1,2,3,4,5,6,7
KuppCo00,Cooper Kupp,LAR,28,WR,17,17,2021
AdamDa01,Davante Adams,GNB,29,WR,16,16,2021
HillTy00,Tyreek Hill,KAN,27,WR,17,16,2021
JeffJu00,Justin Jefferson,MIN,22,WR,17,17,2021
AndrMa00,Mark Andrews,BAL,26,TE,17,9,2021
JohnDi01,Diontae Johnson,PIT,25,WR,16,14,2021
AlleKe00,Keenan Allen,LAC,29,WR,16,16,2021
WaddJa00,Jaylen Waddle,MIA,23,WR,16,16,2021
DiggSt00,Stefon Diggs,BUF,28,WR,17,17,2021
RenfHu00,Hunter Renfrow,LVR,26,WR,17,9,2021
GodwCh00,Chris Godwin,TAM,25,WR,14,14,2021
MoorD.00,D.J. Moore,CAR,24,WR,17,17,2021
KelcTr00,Travis Kelce,KAN,32,TE,16,16,2021
BrowMa04,Marquise Brown,BAL,24,WR,16,16,2021
CookBr00,Brandin Cooks,HOU,28,WR,16,16,2021
StxxAm00,Amon-Ra St. Brown,DET,22,WR,17,9,2021
PittMi01,Michael Pittman Jr.,IND,24,WR,17,17,2021
MeyeJa01,Jakobi Meyers,NWE,25,WR,17,16,2021
BeasCo00,Cole Beasley,BUF,32,WR,16,8,2021
ChasJa00,Ja'Marr Chase,CIN,21,WR,17,17,2021
MoonDa00,Darnell Mooney,CHI,24,WR,17,14,2021
LambCe00,CeeDee Lamb,DAL,22,WR,16,13,2021
SchuDa00,Dalton Schultz,DAL,25,TE,17,15,2021
KirkCh01,Christian Kirk,ARI,25,WR,17,11,2021
McLaTe00,Terry McLaurin,WAS,26,WR,17,17,2021
SamuDe00,Deebo Samuel,SFO,25,WR,16,15,2021
WillMi07,Mike Williams,LAC,27,WR,16,14,2021
MetcDK00,D.K. Metcalf,SEA,24,WR,17,17,2021
ErtzZa00,Zach Ertz,2TM,31,TE,17,14,2021
2021,,,,,,,
EvanMi00,Mike Evans,TAM,28,WR,16,16,2021
HarrNa00,Najee Harris,PIT,23,RB,17,17,2021
HiggTe00,Tee Higgins,CIN,22,WR,14,14,2021
GesiMi00,Mike Gesicki,MIA,26,TE,17,9,2021
JoneMa02,Marvin Jones,JAX,31,WR,17,16,2021
LockTy00,Tyler Lockett,SEA,29,WR,16,16,2021
KittGe00,George Kittle,SFO,28,TE,14,14,2021
EkelAu00,Austin Ekeler,LAC,26,RB,16,16,2021
FourLe00,Leonard Fournette,TAM,26,RB,14,13,2021
CoopAm00,Amari Cooper,DAL,27,WR,15,14,2021
