0,1,2,3,4,5,6,7,8,9,10,11,12,13
Jonathan Taylor*+,IND,22,RB,17,17,332,1811,18,107,83,5.5,106.5,4
Najee Harris*,PIT,23,RB,17,17,307,1200,7,62,37,3.9,70.6,0
Joe Mixon*,CIN,25,RB,16,16,292,1205,13,60,32,4.1,75.3,2
Antonio Gibson,WAS,23,RB,16,14,258,1037,7,65,27,4.0,64.8,6
Dalvin Cook*,MIN,26,RB,13,13,249,1159,6,57,66,4.7,89.2,3
Alvin Kamara*,NOR,26,RB,13,10,240,898,4,42,30,3.7,69.1,0
Ezekiel Elliott,DAL,26,RB,17,17,237,1002,10,55,47,4.2,58.9,1
Nick Chubb*,CLE,26,RB,14,14,228,1259,8,61,70,5.5,89.9,2
David Montgomery,CHI,24,RB,13,13,225,849,7,55,41,3.8,65.3,1
Derrick Henry,TEN,27,RB,8,8,219,937,10,49,76,4.3,117.1,1
Josh Jacobs,LVR,23,RB,15,14,217,872,9,45,28,4.0,58.1,2
Sony Michel,LAR,26,RB,17,7,208,845,4,49,39,4.1,49.7,1
Elijah Mitchell,SFO,23,RB,11,10,207,963,5,47,39,4.7,87.5,0
Austin Ekeler,LAC,26,RB,16,16,206,911,12,53,28,4.4,56.9,4
Melvin Gordon,DEN,28,RB,16,16,203,918,8,48,70,4.5,57.4,3
Javonte Williams,DEN,21,RB,17,1,203,903,4,52,49,4.4,53.1,2
James Conner*,ARI,26,RB,15,6,202,752,15,53,35,3.7,50.1,2
Damien Harris,NWE,24,RB,15,15,202,929,15,55,64,4.6,61.9,2
Devin Singletary,BUF,24,RB,17,16,188,870,7,44,46,4.6,51.2,5
AJ Dillon,GNB,23,RB,17,2,187,803,5,50,36,4.3,47.2,2
Leonard Fournette,TAM,26,RB,14,13,180,812,8,45,47,4.5,58.0,1
Myles Gaskin,MIA,24,RB,17,10,173,612,3,25,30,3.5,36.0,2
Chuba Hubbard,CAR,22,RB,17,10,172,612,5,36,26,3.6,36.0,1
Aaron Jones,GNB,27,RB,15,15,171,799,4,37,57,4.7,53.3,2
James Robinson,JAX,23,RB,14,13,164,767,8,41,58,4.7,54.8,4
Saquon Barkley,NYG,24,RB,13,13,162,593,2,27,41,3.7,45.6,2
Mark Ingram,2TM,32,RB,14,10,160,554,2,23,28,3.5,39.6,1
Cordarrelle Patterson,ATL,30,RB,16,13,153,618,6,29,39,4.0,38.6,2
Jamaal Williams,DET,26,RB,13,11,153,601,3,42,20,3.9,46.2,1
,,,,,,,,,,,,,
D'Andre Swift,DET,22,RB,13,4,151,617,5,28,57,4.1,47.5,2
Darrell Henderson,LAR,24,RB,12,10,149,688,5,39,29,4.6,57.3,0
Michael Carter,NYJ,22,RB,14,11,147,639,4,29,55,4.3,45.6,1
Devontae Booker,NYG,29,RB,16,4,145,593,2,31,31,4.1,37.1,0
Darrel Williams,KAN,26,RB,17,7,144,558,6,40,21,3.9,32.8,0
Jalen Hurts,PHI,23,QB,15,15,139,784,10,56,31,5.6,52.3,9
Mike Davis,ATL,28,RB,17,8,138,503,3,21,18,3.6,29.6,4
Miles Sanders,PHI,24,RB,12,12,137,754,0,33,38,5.5,62.8,1
Alexander Mattison,MIN,23,RB,16,4,134,491,3,28,48,3.7,30.7,1
D'Onta Foreman,TEN,25,RB,9,3,133,566,3,22,35,4.3,62.9,2
Devonta Freeman,BAL,29,RB,16,8,133,576,5,31,32,4.3,36.0,0
Lamar Jackson*,BAL,24,QB,12,12,133,767,2,48,31,5.8,63.9,6
Rhamondre Stevenson,NWE,23,RB,12,2,133,606,5,33,21,4.6,50.5,2
Tony Pollard,DAL,24,RB,15,0,130,719,2,35,58,5.5,47.9,2
Josh Allen,BUF,25,QB,17,17,122,763,6,54,34,6.3,44.9,8
Rex Burkhead,HOU,31,RB,16,5,122,427,3,30,36,3.5,26.7,1
Clyde Edwards-Helaire,KAN,22,RB,10,10,119,517,4,21,17,4.3,51.7,2
Latavius Murray,BAL,31,RB,14,6,119,501,6,36,46,4.2,35.8,0
Rashaad Penny,SEA,25,RB,10,6,119,749,6,28,62,6.3,74.9,0
Chase Edmonds,ARI,25,RB,12,11,116,592,2,32,54,5.1,49.3,1
Alex Collins,SEA,27,RB,11,6,108,411,2,22,25,3.8,37.4,1
Khalil Herbert,CHI,23,RB,17,2,103,433,2,24,29,4.2,25.5,1
Ronald Jones II,TAM,24,RB,16,3,101,428,4,25,30,4.2,26.8,2
D'Ernest Johnson,CLE,25,RB,17,2,100,534,3,24,30,5.3,31.4,1
Christian McCaffrey,CAR,25,RB,7,7,99,442,1,20,18,4.5,63.1,1
Zack Moss,BUF,24,RB,13,0,96,345,4,22,17,3.6,26.5,2
Phillip Lindsay,2TM,27,RB,14,1,88,249,1,11,35,2.8,17.8,0
Kyler Murray*,ARI,24,QB,14,14,88,423,5,25,57,4.8,30.2,13
Boston Scott,PHI,26,RB,16,4,87,373,7,24,23,4.3,23.3,1
Jordan Howard,PHI,27,RB,7,0,86,406,3,24,25,4.7,58.0,0
,,,,,,,,,,,,,
Tevin Coleman,NYJ,28,RB,11,5,84,356,0,19,20,4.2,32.4,0
Jeff Wilson,SFO,26,RB,9,4,79,294,2,19,17,3.7,32.7,1
Kareem Hunt,CLE,26,RB,8,1,78,386,5,22,33,4.9,48.3,0
Trevor Lawrence,JAX,22,QB,17,17,73,334,2,22,26,4.6,19.6,9
Justin Fields,CHI,22,QB,12,10,72,420,2,22,23,5.8,35.0,12
Carlos Hyde,JAX,31,RB,12,2,72,253,1,14,18,3.5,21.1,2
Duke Johnson,MIA,28,RB,5,4,71,330,3,18,27,4.6,66.0,0
Taysom Hill,NOR,31,QB,12,9,70,374,5,26,44,5.3,31.2,2
Kenneth Gainwell,PHI,22,RB,16,1,68,291,5,19,18,4.3,18.2,2
Justin Jackson,LAC,25,RB,14,2,68,364,2,18,75,5.4,26.0,1
Jaret Patterson,WAS,22,RB,17,1,68,266,2,15,13,3.9,15.6,1
David Johnson,HOU,30,RB,13,4,67,228,0,7,15,3.4,17.5,1
Patrick Mahomes*,KAN,26,QB,17,17,66,381,2,25,32,5.8,22.4,9
Kenyan Drake,LVR,27,RB,12,2,63,254,2,15,21,4.0,21.2,1
Justin Herbert*,LAC,23,QB,17,17,63,302,3,28,36,4.8,17.8,1
Daniel Jones,NYG,24,QB,11,11,62,298,2,16,46,4.8,27.1,7
Ty Johnson,NYJ,24,RB,16,3,61,238,2,13,24,3.9,14.9,2
Taylor Heinicke,WAS,28,QB,16,15,60,313,1,20,38,5.2,19.6,7
Deebo Samuel*+,SFO,25,WR,16,15,59,365,8,21,49,6.2,22.8,4
Carson Wentz,IND,29,QB,17,17,57,215,1,21,18,3.8,12.6,8
Royce Freeman,2TM,25,RB,15,0,56,169,0,8,13,3.0,11.3,0
Dontrell Hilliard,TEN,26,RB,8,5,56,350,2,15,68,6.3,43.8,2
Nyheim Hines,IND,25,RB,17,4,56,276,2,15,34,4.9,16.2,3
Peyton Barber,LVR,27,RB,10,1,55,212,2,12,27,3.9,21.2,2
Samaje Perine,CIN,26,RB,16,0,55,246,1,11,46,4.5,15.4,0
Craig Reynolds,DET,25,RB,5,2,55,230,0,11,35,4.2,46.0,0
Ryan Tannehill,TEN,33,QB,17,17,55,270,7,33,28,4.9,15.9,10
Salvon Ahmed,MIA,23,RB,12,0,54,149,0,8,16,2.8,12.4,0
Chris Carson,SEA,27,RB,4,4,54,232,3,11,33,4.3,58.0,1
Tony Jones,NOR,24,RB,11,4,54,142,0,7,11,2.6,12.9,0
,,,,,,,,,,,,,
Ameer Abdullah,2TM,28,RB,17,1,51,166,0,8,15,3.3,9.8,0
Derrick Gore,KAN,27,RB,11,0,51,256,2,12,51,5.0,23.3,0
Sam Darnold,CAR,24,QB,12,11,48,222,5,20,30,4.6,18.5,9
J.D. McKissic,WAS,28,WR,11,3,48,212,2,14,15,4.4,19.3,0
Dak Prescott,DAL,28,QB,16,16,48,146,1,7,21,3.0,9.1,14
Tyler Huntley,BAL,23,QB,7,4,47,294,2,22,21,6.3,42.0,4
Cam Newton,CAR,32,QB,8,5,47,230,5,20,33,4.9,28.8,4
Brandon Bolden,NWE,31,RB,17,1,44,226,1,12,24,5.1,13.3,1
Mac Jones*,NWE,23,QB,17,17,44,129,0,22,13,2.9,7.6,7
Dare Ogunbowale,JAX,27,RB,17,2,43,137,1,5,12,3.2,8.1,0
Russell Wilson*,SEA,33,QB,14,14,43,183,2,17,17,4.3,13.1,6
Tua Tagovailoa,MIA,23,QB,13,12,42,128,3,13,23,3.0,9.8,9
Jeremy McNichols,TEN,26,RB,14,0,41,156,0,6,14,3.8,11.1,0
Trey Sermon,SFO,22,RB,9,2,41,167,1,9,16,4.1,18.6,0
Joe Burrow,CIN,25,QB,16,16,40,118,2,14,12,3.0,7.4,5
Derek Carr,LVR,30,QB,17,17,40,108,0,9,22,2.7,6.4,13
Matt Ryan,ATL,36,QB,17,17,40,82,1,9,17,2.1,4.8,11
Damien Williams,CHI,29,RB,12,2,40,164,2,11,23,4.1,13.7,0
Le'Veon Bell,2TM,29,RB,8,0,39,101,2,9,12,2.6,12.6,0
Jimmy Garoppolo,SFO,30,QB,15,15,38,51,3,15,7,1.3,3.4,8
Trey Lance,SFO,21,QB,6,2,38,168,1,8,15,4.4,28.0,0
Adrian Peterson,2TM,36,RB,4,3,38,98,2,6,16,2.6,24.5,1
Baker Mayfield,CLE,26,QB,14,14,37,134,1,12,14,3.6,9.6,6
Larry Rountree,LAC,22,RB,12,0,36,87,1,5,13,2.4,7.3,0
Benny Snell Jr.,PIT,23,RB,17,0,36,98,0,3,9,2.7,5.8,0
Ke'Shawn Vaughn,TAM,24,RB,12,1,36,180,2,9,55,5.0,15.0,0
Ty'Son Williams,BAL,25,RB,13,3,35,185,1,7,35,5.3,14.2,1
Eno Benjamin,ARI,22,RB,9,0,34,118,1,4,21,3.5,13.1,0
Malcolm Brown,MIA,28,RB,7,3,33,125,1,6,24,3.8,17.9,0
Corey Clement,DAL,27,RB,17,0,33,140,0,7,38,4.2,8.2,0
,,,,,,,,,,,,,
DeeJay Dallas,SEA,23,RB,17,0,33,138,2,10,15,4.2,8.1,1
Joshua Kelley,LAC,24,RB,10,0,33,102,0,5,14,3.1,10.2,1
